WE (EXCLUSIVE)	consonant
WE (INCLUSIVE)	consonant
I	consonant
YOU	consonant
THOU	consonant
THEY	consonant
HE OR SHE OR IT	consonant
ABOVE	consonant
SCARED	consonant
AFTER	consonant
AIR	consonant
ALL	consonant
ANGRY	consonant
ANIMAL	consonant
ANT	consonant
LOWER ARM	consonant
UPPER ARM	consonant
ASH	consonant
BACK	consonant
BAD	consonant
BARK	consonant
BEAUTIFUL	consonant
BECAUSE	consonant
BEFORE	consonant
BEHIND	consonant
BELLY	consonant
BELOW OR UNDER	consonant
BESIDE	consonant
BETWEEN	consonant
BIG	consonant
BIRD	consonant
BITE	consonant
BITTER	consonant
BLACK	consonant
BLOOD	consonant
BLOW (OF WIND)	consonant
BLUE	consonant
BLUNT	consonant
BODY	consonant
BONE	consonant
BOY	consonant
BRAIN	consonant
BREAST	consonant
BREATHE	consonant
BURN	consonant
BUTTOCKS	consonant
CARRY	consonant
CLEAN	consonant
CLOUD	consonant
COLD	consonant
COME	consonant
CORRECT (RIGHT)	consonant
COUGH	consonant
CROOKED	consonant
CRUSH	consonant
CRY	consonant
DARK	consonant
DAY (NOT NIGHT)	consonant
DEEP	consonant
SHIT (DEFECATE)	consonant
DIE	consonant
DIRTY	consonant
DO	consonant
DOG	consonant
DRINK	consonant
DRY	consonant
DUST	consonant
EAR	consonant
EARTH (SOIL)	consonant
EAT	consonant
EGG	consonant
EIGHT	consonant
ELEVEN	consonant
EMPTY	consonant
EYE	consonant
FALL	consonant
FAR	consonant
FART	consonant
FEATHER	consonant
FEW	consonant
FINGER	consonant
FINGERNAIL	consonant
FIRE	consonant
FISH	consonant
FIVE	consonant
FLAT	consonant
FLESH	consonant
FLOWER	consonant
FLY (INSECT)	consonant
FLY (MOVE THROUGH AIR)	consonant
FOOT	consonant
FOUR	consonant
FULL	consonant
GIRL	consonant
GIVE	consonant
GO	consonant
GOOD	consonant
GRASS	consonant
GREY	consonant
FAT (ORGANIC SUBSTANCE)	consonant
GREEN	consonant
GROW	consonant
HAIR	consonant
HALF	consonant
HAND	consonant
HAPPY	consonant
HARD	consonant
COPULATE	consonant
HEAD	consonant
HEAR	consonant
HEART	consonant
HEAVY	consonant
HERE	consonant
HIDE	consonant
HIGH	consonant
HIT	consonant
HORN (ANATOMY)	consonant
HOT	consonant
HOUSE	consonant
HOW	consonant
IF	consonant
IN FRONT OF	consonant
IN	consonant
KILL	consonant
KNEE	consonant
KNOW	consonant
LAUGH	consonant
LEAF	consonant
LEFT	consonant
LOWER LEG	consonant
UPPER LEG (THIGH)	consonant
LIE DOWN	consonant
LIGHT (COLOR)	consonant
LIGHT (WEIGHT)	consonant
LIP	consonant
BE ALIVE	consonant
LIVER	consonant
LONG	consonant
LOUD	consonant
LOUSE	consonant
LOW	consonant
LUNG	consonant
MAN	consonant
MANY	consonant
MILK	consonant
MOON	consonant
MOUNTAIN	consonant
MOUTH	consonant
NAME	consonant
NARROW	consonant
NAVEL	consonant
NEAR	consonant
NECK	consonant
NEW	consonant
NIGHT	consonant
NINE	consonant
NIPPLE	consonant
NOSE	consonant
NOT	consonant
NOTHING	consonant
NOW	consonant
OLDER BROTHER (OF WOMAN)	consonant
OLDER BROTHER (OF MAN)	consonant
OLD (AGED)	consonant
OLD (USED)	consonant
OLD MAN	consonant
OLD WOMAN	consonant
ONE	consonant
OTHER	consonant
OUTSIDE	consonant
OLDER SISTER (OF WOMAN)	consonant
OLDER SISTER (OF MAN)	consonant
PART	consonant
PATH	consonant
PENIS	consonant
PERSON	consonant
POINTED	consonant
FAST	consonant
QUIET	consonant
RAIN (PRECIPITATION)	consonant
RAW	consonant
RED	consonant
RIGHT	consonant
RIPE	consonant
RIVER	consonant
ROOT	consonant
ROPE	consonant
ROTTEN	consonant
ROUGH	consonant
ROUND	consonant
RUN	consonant
SAD	consonant
SALTY	consonant
SAME	consonant
SAND	consonant
SAY	consonant
SEA	consonant
SEE	consonant
SEED	consonant
SEMEN	consonant
SEVEN	consonant
SHADE	consonant
SHALLOW	consonant
SHARP	consonant
SHORT	consonant
SIT	consonant
SIX	consonant
SKIN	consonant
SKY	consonant
SLEEP	consonant
SLOW	consonant
SMALL	consonant
SMELL	consonant
SMOKE (EXHAUST)	consonant
SMOOTH	consonant
SNEEZE	consonant
SNORE	consonant
SOFT	consonant
SOME	consonant
SOUR	consonant
SPIT	consonant
STAND	consonant
STAR	consonant
STONE	consonant
STRAIGHT	consonant
STRONG	consonant
SUCK	consonant
SUN	consonant
SWEAT (SUBSTANCE)	consonant
SWEET	consonant
SWIM	consonant
TAIL	consonant
TAKE	consonant
TASTE	consonant
TEN	consonant
TESTICLES	consonant
THAT	consonant
THEN	consonant
THERE	consonant
THICK	consonant
THIN	consonant
THINK	consonant
THIS	consonant
THREE	consonant
THROAT	consonant
THUNDER	consonant
TIE	consonant
TOE	consonant
TONGUE	consonant
TOOTH	consonant
TOUCH	consonant
TREE	consonant
TURN	consonant
TWELVE	consonant
TWENTY	consonant
TWO	consonant
UGLY	consonant
PISS	consonant
VOMIT	consonant
VULVA	consonant
WANT	consonant
WATER	consonant
WEAK	consonant
WET	consonant
WHAT	consonant
WHEN	consonant
WHERE	consonant
WHITE	consonant
WHO	consonant
